Nom de la commune,Populationtotal,Population_string,Premier_chiffre
Saint-Laurent-sous-Coiron,104,104,1
Saint-Marcel-d'Ardèche,2443,2443,2
Saint-Marcel-lès-Annonay,1458,1458,1
Saint-Martial,255,255,2
Saint-Martin-d'Ardèche,991,991,9
Saint-Martin-de-Valamas,1153,1153,1
Saint-Martin-sur-Lavezon,444,444,4
Saint-Maurice-d'Ardèche,318,318,3
Saint-Maurice-d'Ibie,225,225,2
Saint-Maurice-en-Chalencon,226,226,2
Saint-Mélany,114,114,1
Saint-Michel-d'Aurance,295,295,2
Saint-Michel-de-Boulogne,161,161,1
Saint-Michel-de-Chabrillanoux,366,366,3
Saint-Montan,1942,1942,1
Saint-Paul-le-Jeune,990,990,9
Saint-Péray,7931,7931,7
Saint-Pierre-de-Colombier,436,436,4
Saint-Pierre-la-Roche,61,61,6
Saint-Pierre-Saint-Jean,149,149,1
Saint-Pierre-sur-Doux,108,108,1
Saint-Pierreville,555,555,5
Saint-Pons,310,310,3
Saint-Priest,1250,1250,1
Saint-Privat,1787,1787,1
Saint-Prix,283,283,2
Saint-Remèze,890,890,8
Saint-Romain-d'Ay,1250,1250,1
Saint-Romain-de-Lerps,891,891,8
Saint-Sauveur-de-Cruzières,545,545,5
Saint-Sauveur-de-Montagut,1140,1140,1
Saint-Sernin,1707,1707,1
Saint-Sylvestre,515,515,5
Saint-Symphorien-de-Mahun,124,124,1
Saint-Symphorien-sous-Chomérac,787,787,7
Saint-Thomé,460,460,4
Saint-Victor,961,961,9
Saint-Vincent-de-Barrès,859,859,8
Saint-Vincent-de-Durfort,230,230,2
Sainte-Eulalie,219,219,2
Sainte-Marguerite-Lafigère,109,109,1
Salavas,693,693,6
Les Salelles,375,375,3
Sampzon,235,235,2
Sanilhac,455,455,4
Sarras,2234,2234,2
Satillieu,1577,1577,1
Savas,924,924,9
Sceautres,151,151,1
Sécheras,558,558,5
Serrières,1163,1163,1
Silhac,380,380,3
La Souche,380,380,3
Soyons,2285,2285,2
Talencieux,1098,1098,1
Tauriers,197,197,1
Le Teil,8896,8896,8
Thorrenc,239,239,2
Thueyts,1228,1228,1
Toulaud,1752,1752,1
Tournon-sur-Rhône,10822,10822,1
Ucel,2115,2115,2
Usclades-et-Rieutord,115,115,1
Uzer,426,426,4
Vagnas,552,552,5
Valgorge,443,443,4
Vallées-d'Antraigues-Asperjoc,959,959,9
Vallon-Pont-d'Arc,2422,2422,2
Vals-les-Bains,3653,3653,3
Valvignères,479,479,4
Vanosc,949,949,9
Les Vans,2734,2734,2
Vaudevant,207,207,2
Vernon,239,239,2
Vernosc-lès-Annonay,2689,2689,2
Vernoux-en-Vivarais,1989,1989,1
Vesseaux,1984,1984,1
Veyras,1576,1576,1
Villeneuve-de-Berg,3073,3073,3
Villevocance,1199,1199,1
Vinezac,1410,1410,1
Vinzieux,456,456,4
Vion,962,962,9
Viviers,3787,3787,3
Vocance,613,613,6
Vogüé,1114,1114,1
La Voulte-sur-Rhône,5046,5046,5
Acy-Romance,449,449,4
Aiglemont,1668,1668,1
Aire,224,224,2
Alincourt,152,152,1
Alland'Huy-et-Sausseuil,249,249,2
Amagne,731,731,7
Ambly-Fleury,139,139,1
Anchamps,221,221,2
Angecourt,396,396,3
Annelles,147,147,1
Antheny,104,104,1
Aouste,209,209,2
Apremont,120,120,1
Ardeuil-et-Montfauxelles,69,69,6
Arnicourt,160,160,1
Arreux,336,336,3
Artaise-le-Vivier,67,67,6
Asfeld,1132,1132,1
Attigny,1152,1152,1
Aubigny-les-Pothées,321,321,3
Auboncourt-Vauzelles,103,103,1
Aubrives,929,929,9
Auflance,89,89,8
Auge,60,60,6
Aure,52,52,5
Aussonce,218,218,2
Authe,94,94,9
Autrecourt-et-Pourron,348,348,3
Autruche,73,73,7
Autry,125,125,1
Auvillers-les-Forges,887,887,8
Avançon,319,319,3
Avaux,479,479,4
Les Ayvelles,909,909,9
Baâlons,215,215,2
Bairon et ses environs,1058,1058,1
Balan,1648,1648,1
Balham,153,153,1
Ballay,296,296,2
Banogne-Recouvrance,161,161,1
Bar-lès-Buzancy,128,128,1
Barbaise,101,101,1
Barby,419,419,4
Bayonville,104,104,1
Bazeilles,2612,2612,2
Beaumont-en-Argonne,439,439,4
Beffu-et-le-Morthomme,48,48,4
Belleville-et-Châtillon-sur-Bar,322,322,3
Belval,228,228,2
Belval-Bois-des-Dames,34,34,3
Bergnicourt,286,286,2
La Berlière,41,41,4
Bertoncourt,135,135,1
La Besace,141,141,1
Biermes,312,312,3
Bièvres,50,50,5
Bignicourt,69,69,6
Blagny,1209,1209,1
Blanchefosse-et-Bay,152,152,1
Blanzy-la-Salonnaise,350,350,3
Blombay,141,141,1
Bogny-sur-Meuse,5174,5174,5
Bossus-lès-Rumigny,104,104,1
Bouconville,56,56,5
Boult-aux-Bois,141,141,1
Boulzicourt,977,977,9
Bourcq,53,53,5
Bourg-Fidèle,877,877,8
Bouvellemont,121,121,1
Brécy-Brières,78,78,7
Brévilly,374,374,3
Brienne-sur-Aisne,260,260,2
Brieulles-sur-Bar,224,224,2
Briquenay,105,105,1
Brognon,150,150,1
Bulson,138,138,1
Buzancy,357,357,3
Carignan,2930,2930,2
Cauroy,197,197,1
Cernion,61,61,6
Chagny,190,190,1
Chalandry-Elaire,683,683,6
Challerange,454,454,4
Champigneul-sur-Vence,126,126,1
Champigneulle,60,60,6
Champlin,74,74,7
La Chapelle,182,182,1
Chappes,101,101,1
Charbogne,233,233,2
Chardeny,56,56,5
Charleville-Mézières,47571,47571,4
Charnois,77,77,7
Château-Porcien,1384,1384,1
Chatel-Chéhéry,149,149,1
Le Châtelet-sur-Retourne,804,804,8
Le Châtelet-sur-Sormonne,162,162,1
Chaumont-Porcien,495,495,4
Chémery-Chéhéry,591,591,5
Chesnois-Auboncourt,169,169,1
Cheveuges,437,437,4
Chevières,47,47,4
Chilly,148,148,1
Chooz,762,762,7
Chuffilly-Roche,76,76,7
Clavy-Warby,357,357,3
Cliron,386,386,3
Condé-lès-Autry,69,69,6
Condé-lès-Herpy,221,221,2
Contreuve,83,83,8
Cornay,66,66,6
Corny-Machéroménil,195,195,1
Coucy,511,511,5
Coulommes-et-Marqueny,84,84,8
La Croix-aux-Bois,152,152,1
Daigny,357,357,3
Damouzy,459,459,4
Les Deux-Villes,257,257,2
Deville,1051,1051,1
Dom-le-Mesnil,1106,1106,1
Dommery,185,185,1
Donchery,2115,2115,2
Doumely-Bégny,76,76,7
Doux,100,100,1
Douzy,2228,2228,2
Draize,103,103,1
Dricourt,93,93,9
L' Écaille,282,282,2
L' Échelle,142,142,1
Écly,181,181,1
Écordal,332,332,3
Escombres-et-le-Chesnois,354,354,3
Estrebay,77,77,7
Étalle,108,108,1
Éteignières,519,519,5
Étrépigny,299,299,2
Euilly-et-Lombut,118,118,1
Évigny,194,194,1
Exermont,43,43,4
Fagnon,348,348,3
Faissault,255,255,2
Falaise,339,339,3
Faux,58,58,5
Fépin,267,267,2
La Férée,85,85,8
La Ferté-sur-Chiers,176,176,1
Flaignes-Havys,122,122,1
Fleigneux,209,209,2
Fléville,101,101,1
Fligny,186,186,1
Flize,1775,1775,1
Floing,2405,2405,2
Foisches,211,211,2
Fossé,55,55,5
Fraillicourt,194,194,1
Francheval,622,622,6
La Francheville,1730,1730,1
Le Fréty,58,58,5
Fromelennes,1060,1060,1
Fromy,84,84,8
Fumay,3541,3541,3
Germont,48,48,4
Gernelle,321,321,3
Gespunsart,1079,1079,1
Girondelle,155,155,1
Givet,6908,6908,6
Givonne,1077,1077,1
Givron,87,87,8
Givry,278,278,2
Glaire,897,897,8
Gomont,329,329,3
Grandchamp,97,97,9
Les Grandes-Armoises,61,61,6
Grandham,40,40,4
Grandpré,557,557,5
La Grandville,812,812,8
Grivy-Loisy,190,190,1
Gruyères,101,101,1
Gué-d'Hossus,529,529,5
Guignicourt-sur-Vence,308,308,3
Guincourt,92,92,9
Hagnicourt,83,83,8
Ham-les-Moines,377,377,3
Ham-sur-Meuse,240,240,2
Hannappes,141,141,1
Hannogne-Saint-Martin,470,470,4
Hannogne-Saint-Rémy,117,117,1
Haraucourt,735,735,7
Harcy,517,517,5
Hargnies,487,487,4
Harricourt,42,42,4
Haudrecy,318,318,3
Haulmé,92,92,9
Les Hautes-Rivières,1507,1507,1
Hauteville,109,109,1
Hauviné,335,335,3
Haybes,1942,1942,1
Herbeuval,123,123,1
Herpy-l'Arlésienne,204,204,2
Hierges,200,200,2
La Horgne,203,203,2
Houdilcourt,140,140,1
Houldizy,379,379,3
Illy,420,420,4
Imécourt,50,50,5
Inaumont,99,99,9
Issancourt-et-Rumel,396,396,3
Jandun,295,295,2
Joigny-sur-Meuse,697,697,6
Jonval,99,99,9
Juniville,1254,1254,1
Justine-Herbigny,176,176,1
Laifour,457,457,4
Lalobbe,173,173,1
Lametz,75,75,7
Landres-et-Saint-Georges,80,80,8
Landrichamps,133,133,1
Lançon,36,36,3
Launois-sur-Vence,708,708,7
Laval-Morency,253,253,2
Leffincourt,195,195,1
Lépron-les-Vallées,80,80,8
Létanne,132,132,1
Liart,615,615,6
Linay,253,253,2
Liry,89,89,8
Logny-Bogny,171,171,1
Longwé,75,75,7
Lonny,659,659,6
Lucquy,614,614,6
Lumes,1167,1167,1
Machault,516,516,5
Maisoncelle-et-Villers,73,73,7
Malandry,83,83,8
Manre,106,106,1
Maranwez,61,61,6
Marby,63,63,6
Marcq,101,101,1
Margny,196,196,1
Margut,785,785,7
Marlemont,144,144,1
Marquigny,84,84,8
Mars-sous-Bourcq,57,57,5
Marvaux-Vieux,75,75,7
Matton-et-Clémency,478,478,4
Maubert-Fontaine,1102,1102,1
Mazerny,126,126,1
Les Mazures,926,926,9
Ménil-Annelles,113,113,1
Ménil-Lépinois,138,138,1
Mesmont,96,96,9
Messincourt,620,620,6
Mogues,220,220,2
Moiry,148,148,1
La Moncelle,143,143,1
Mondigny,175,175,1
Le Mont-Dieu,16,16,1
Mont-Laurent,63,63,6
Mont-Saint-Martin,83,83,8
Mont-Saint-Remy,57,57,5
Montcheutin,136,136,1
Montcornet,305,305,3
Montcy-Notre-Dame,1644,1644,1
Montgon,70,70,7
Monthermé,2420,2420,2
Monthois,384,384,3
Montigny-sur-Meuse,82,82,8
Montigny-sur-Vence,248,248,2
Montmeillant,84,84,8
Mouron,78,78,7
Mouzon,2345,2345,2
Murtin-et-Bogny,189,189,1
Nanteuil-sur-Aisne,139,139,1
Neuflize,806,806,8
Neufmaison,71,71,7
Neufmanil,1036,1036,1
La Neuville-à-Maire,127,127,1
La Neuville-aux-Joûtes,369,369,3
Neuville-Day,160,160,1
La Neuville-en-Tourne-à-Fuy,588,588,5
Neuville-lès-This,390,390,3
La Neuville-lès-Wasigny,161,161,1
Neuville-lez-Beaulieu,343,343,3
Neuvizy,119,119,1
Noirval,28,28,2
Nouart,143,143,1
Nouvion-sur-Meuse,2286,2286,2
Nouzonville,5946,5946,5
Novion-Porcien,498,498,4
Novy-Chevrières,744,744,7
Noyers-Pont-Maugis,698,698,6
Oches,48,48,4
Olizy-Primat,243,243,2
Omicourt,42,42,4
Omont,85,85,8
Osnes,233,233,2
Pauvres,191,191,1
Perthes,317,317,3
Les Petites-Armoises,63,63,6
Poilcourt-Sydney,185,185,1
Poix-Terron,860,860,8
Pouru-aux-Bois,271,271,2
Pouru-Saint-Remy,1188,1188,1
Prez,138,138,1
Prix-lès-Mézières,1371,1371,1
Puilly-et-Charbeaux,232,232,2
Puiseux,119,119,1
Pure,610,610,6
Quatre-Champs,221,221,2
Quilly,82,82,8
Raillicourt,206,206,2
Rancennes,742,742,7
Raucourt-et-Flaba,854,854,8
Regniowez,398,398,3
Remaucourt,174,174,1
Remilly-Aillicourt,795,795,7
Remilly-les-Pothées,258,258,2
Renneville,208,208,2
Renwez,1732,1732,1
Rethel,7895,7895,7
Revin,6379,6379,6
Rilly-sur-Aisne,144,144,1
Rimogne,1405,1405,1
Rocquigny,696,696,6
Rocroi,2359,2359,2
Roizy,222,222,2
La Romagne,132,132,1
Rouvroy-sur-Audry,588,588,5
Rubigny,67,67,6
Rumigny,332,332,3
La Sabotterie,115,115,1
Sachy,188,188,1
Sailly,256,256,2
Saint-Aignan,151,151,1
Saint-Clément-à-Arnes,108,108,1
Saint-Étienne-à-Arnes,244,244,2
Saint-Fergeux,214,214,2
Saint-Germainmont,854,854,8
Saint-Jean-aux-Bois,110,110,1
Saint-Juvin,108,108,1
Saint-Lambert-et-Mont-de-Jeux,149,149,1
Saint-Laurent,1275,1275,1
Saint-Loup-en-Champagne,330,330,3
Saint-Loup-Terrier,185,185,1
Saint-Marceau,357,357,3
Saint-Marcel,365,365,3
Saint-Menges,988,988,9
Saint-Morel,217,217,2
Saint-Pierre-à-Arnes,69,69,6
Saint-Pierre-sur-Vence,126,126,1
Saint-Pierremont,76,76,7
Saint-Quentin-le-Petit,120,120,1
Saint-Remy-le-Petit,44,44,4
Sainte-Marie,84,84,8
Sainte-Vaubourg,89,89,8
Sapogne-et-Feuchères,526,526,5
Sapogne-sur-Marche,141,141,1
Saulces-Champenoises,244,244,2
Saulces-Monclin,821,821,8
Sault-lès-Rethel,1933,1933,1
Sault-Saint-Remy,207,207,2
Sauville,253,253,2
Savigny-sur-Aisne,387,387,3
Séchault,61,61,6
Sécheval,564,564,5
Sedan,16777,16777,1
Semide,209,209,2
Semuy,90,90,9
Senuc,169,169,1
Seraincourt,282,282,2
Sery,364,364,3
Seuil,164,164,1
Sévigny-la-Forêt,284,284,2
Sévigny-Waleppe,230,230,2
Signy-l'Abbaye,1391,1391,1
Signy-le-Petit,1266,1266,1
Signy-Montlibert,92,92,9
Singly,138,138,1
Sommauthe,114,114,1
Sommerance,39,39,3
Son,99,99,9
Sorbon,198,198,1
Sorcy-Bauthémont,155,155,1
Sormonne,558,558,5
Stonne,43,43,4
Sugny,103,103,1
Sury,112,112,1
Suzanne,66,66,6
Sy,52,52,5
Tagnon,897,897,8
Taillette,409,409,4
Tailly,180,180,1
Taizy,107,107,1
Tannay,160,160,1
Tarzy,156,156,1
Tétaigne,134,134,1
Thelonne,408,408,4
Thénorgues,84,84,8
Thilay,1073,1073,1
Thin-le-Moutier,633,633,6
This,233,233,2
Le Thour,411,411,4
Thugny-Trugny,266,266,2
Toges,104,104,1
Touligny,87,87,8
Tourcelles-Chaumont,93,93,9
Tournavaux,245,245,2
Tournes,1103,1103,1
Tourteron,183,183,1
Tremblois-lès-Carignan,169,169,1
Tremblois-lès-Rocroi,156,156,1
Vandy,208,208,2
Vaux-Champagne,133,133,1
Vaux-en-Dieulet,55,55,5
Vaux-lès-Mouron,84,84,8
Vaux-lès-Mouzon,75,75,7
Vaux-lès-Rubigny,50,50,5
Vaux-Montreuil,108,108,1
Vaux-Villaine,196,196,1
Vendresse,506,506,5
Verpel,70,70,7
Verrières,29,29,2
Viel-Saint-Remy,303,303,3
Vieux-lès-Asfeld,321,321,3
Ville-sur-Lumes,536,536,5
Ville-sur-Retourne,84,84,8
Villers-devant-le-Thour,425,425,4
Villers-devant-Mouzon,101,101,1
Villers-le-Tilleul,240,240,2
Villers-le-Tourneur,196,196,1
Villers-Semeuse,3673,3673,3
Villers-sur-Bar,252,252,2
Villers-sur-le-Mont,114,114,1
Villy,217,217,2
Vireux-Molhain,1530,1530,1
Vireux-Wallerand,2019,2019,2
Vivier-au-Court,3044,3044,3
Voncq,223,223,2
Vouziers,4489,4489,4
Vrigne aux Bois,3701,3701,3
Vrigne-Meuse,301,301,3
Wadelincourt,478,478,4
Wagnon,129,129,1
Warcq,1300,1300,1
Warnécourt,388,388,3
Wasigny,334,334,3
Wignicourt,59,59,5
Williers,45,45,4
Yoncq,104,104,1
Yvernaumont,144,144,1
Aigues-Juntes,67,67,6
Aigues-Vives,679,679,6
L' Aiguillon,439,439,4
Albiès,130,130,1
Aleu,132,132,1
Alliat,52,52,5
Allières,72,72,7
Alos,119,119,1
Alzen,271,271,2
Antras,66,66,6
Appy,25,25,2
Arabaux,78,78,7
Argein,201,201,2
Arignac,715,715,7
Arnave,214,214,2
Arrien-en-Bethmale,113,113,1
Arrout,89,89,8
Artigat,574,574,5
Artigues,57,57,5
Artix,144,144,1
Arvigna,223,223,2
Ascou,122,122,1
Aston,222,222,2
Aucazein,61,61,6
Audressein,142,142,1
Augirein,80,80,8
Aulos-Sinsat,169,169,1
Aulus-les-Bains,164,164,1
Auzat,499,499,4
Ax-les-Thermes,1332,1332,1
Axiat,42,42,4
Bagert,39,39,3
Balacet,28,28,2
Balaguères,199,199,1
Barjac,42,42,4
La Bastide-de-Besplas,387,387,3
La Bastide-de-Bousignac,352,352,3
La Bastide-de-Lordat,293,293,2
La Bastide-de-Sérou,975,975,9
La Bastide-du-Salat,188,188,1
La Bastide-sur-l'Hers,691,691,6
Baulou,171,171,1
Bédeilhac-et-Aynat,195,195,1
Bédeille,73,73,7
Bélesta,1082,1082,1
Belloc,77,77,7
Bénac,187,187,1
Benagues,523,523,5
Bénaix,151,151,1
Besset,172,172,1
Bestiac,22,22,2
Betchat,338,338,3
Bethmale,95,95,9
Bézac,362,362,3
Biert,321,321,3
Bompas,200,200,2
Bonac-Irazein,123,123,1
Bonnac,743,743,7
Les Bordes-sur-Arize,525,525,5
Bordes-Uchentein,176,176,1
Le Bosc,99,99,9
Bouan,38,38,3
Boussenac,218,218,2
Brassac,642,642,6
Brie,223,223,2
Burret,40,40,4
Buzan,29,29,2
Les Cabannes,342,342,3
Cadarcet,231,231,2
Calzan,32,32,3
Camarade,182,182,1
Camon,144,144,1
Campagne-sur-Arize,280,280,2
Canté,212,212,2
Capoulet-et-Junac,169,169,1
Carcanières,78,78,7
Carla-Bayle,794,794,7
Carla-de-Roquefort,171,171,1
Le Carlaret,288,288,2
Castelnau-Durban,456,456,4
Castéras,24,24,2
Castex,95,95,9
Castillon-en-Couserans,405,405,4
Caumont,331,331,3
Caussou,54,54,5
Caychax,14,14,1
Cazals-des-Baylès,58,58,5
Cazaux,44,44,4
Cazavet,226,226,2
Cazenave-Serres-et-Allens,54,54,5
Celles,148,148,1
Cérizols,151,151,1
Cescau,142,142,1
Château-Verdun,46,46,4
Clermont,114,114,1
Contrazy,71,71,7
Cos,412,412,4
Couflens,87,87,8
Coussa,268,268,2
Coutens,174,174,1
Crampagna,858,858,8
Dalou,792,792,7
Daumazan-sur-Arize,731,731,7
Dreuilhe,371,371,3
Dun,600,600,6
Durban-sur-Arize,187,187,1
Durfort,147,147,1
Encourtiech,94,94,9
Engomer,301,301,3
Ercé,542,542,5
Erp,123,123,1
Esclagne,149,149,1
Escosse,427,427,4
Esplas,109,109,1
Esplas-de-Sérou,186,186,1
Eycheil,556,556,5
Fabas,355,355,3
Ferrières-sur-Ariège,870,870,8
Foix,9863,9863,9
Fornex,114,114,1
Le Fossat,1050,1050,1
Fougax-et-Barrineuf,441,441,4
Freychenet,92,92,9
Gabre,127,127,1
Gajan,319,319,3
Galey,117,117,1
Ganac,727,727,7
Garanou,159,159,1
Gaudiès,247,247,2
Génat,22,22,2
Gestiès,29,29,2
Gourbit,79,79,7
Gudas,187,187,1
L' Herm,220,220,2
L' Hospitalet-près-l'Andorre,95,95,9
Ignaux,115,115,1
Ilhat,113,113,1
Illartein,73,73,7
Illier-et-Laramade,25,25,2
Les Issards,241,241,2
Justiniac,55,55,5
Labatut,177,177,1
Lacave,151,151,1
Lacourt,201,201,2
Lagarde,200,200,2
Lanoux,51,51,5
Lapège,29,29,2
Lapenne,131,131,1
Larbont,59,59,5
Larcat,44,44,4
Larnat,21,21,2
Laroque-d'Olmes,2486,2486,2
Lasserre,254,254,2
Lassur,89,89,8
Lavelanet,6305,6305,6
Léran,614,614,6
Lercoul,22,22,2
Lescousse,77,77,7
Lescure,520,520,5
Lesparrou,233,233,2
Leychert,105,105,1
Lézat-sur-Lèze,2353,2353,2
Lieurac,195,195,1
Limbrassac,136,136,1
Lissac,252,252,2
Lordat,68,68,6
Lorp-Sentaraille,1501,1501,1
Loubaut,28,28,2
Loubens,279,279,2
Loubières,350,350,3
Ludiès,94,94,9
Luzenac,553,553,5
Madière,216,216,2
Malegoude,50,50,5
Malléon,74,74,7
Manses,127,127,1
Le Mas-d'Azil,1177,1177,1
Massat,667,667,6
Mauvezin-de-Prat,103,103,1
Mauvezin-de-Sainte-Croix,36,36,3
Mazères,3939,3939,3
Méras,111,111,1
Mercenac,377,377,3
Mercus-Garrabet,1223,1223,1
Mérens-les-Vals,172,172,1
Mérigon,115,115,1
Miglos,120,120,1
Mijanès,59,59,5
Mirepoix,3299,3299,3
Monesple,27,27,2
Montagagne,76,76,7
Montaillou,18,18,1
Montardit,194,194,1
Montaut,734,734,7
Montbel,112,112,1
Montégut-en-Couserans,77,77,7
Montégut-Plantaurel,344,344,3
Montels,167,167,1
Montesquieu-Avantès,250,250,2
Montfa,84,84,8
Montferrier,508,508,5
Montgaillard,1493,1493,1
Montgauch,122,122,1
Montjoie-en-Couserans,1114,1114,1
Montoulieu,417,417,4
Montségur,120,120,1
Montseron,94,94,9
Moulin-Neuf,240,240,2
Moulis,773,773,7
Nalzen,140,140,1
Nescus,63,63,6
Niaux,167,167,1
Orgeix,88,88,8
Orgibet,192,192,1
Orlu,163,163,1
Ornolac-Ussat-les-Bains,237,237,2
Orus,25,25,2
Oust,552,552,5
Pailhès,480,480,4
Pamiers,16145,16145,1
Pech,37,37,3
Péreille,215,215,2
Perles-et-Castelet,226,226,2
Le Peyrat,481,481,4
Le Pla,56,56,5
Le Port,155,155,1
Prades,33,33,3
Pradettes,50,50,5
Pradières,115,115,1
Prat-Bonrepaux,935,935,9
Prayols,388,388,3
Le Puch,29,29,2
Les Pujols,822,822,8
Quérigut,137,137,1
Quié,305,305,3
Rabat-les-Trois-Seigneurs,361,361,3
Raissac,49,49,4
Régat,88,88,8
Rieucros,710,710,7
Rieux-de-Pelleport,1331,1331,1
Rimont,551,551,5
Rivèrenert,179,179,1
Roquefixade,153,153,1
Roquefort-les-Cascades,93,93,9
Roumengoux,174,174,1
Rouze,86,86,8
Sabarat,366,366,3
Saint-Amadou,248,248,2
Saint-Amans,48,48,4
Saint-Bauzeil,57,57,5
Saint-Félix-de-Rieutord,469,469,4
Saint-Félix-de-Tournegat,146,146,1
Saint-Girons,6781,6781,6
Saint-Jean-d'Aigues-Vives,393,393,3
Saint-Jean-de-Verges,1277,1277,1
Saint-Jean-du-Castillonnais,24,24,2
Saint-Jean-du-Falga,3002,3002,3
Saint-Julien-de-Gras-Capou,55,55,5
Saint-Lary,133,133,1
Saint-Lizier,1452,1452,1
Saint-Martin-d'Oydes,230,230,2
Saint-Martin-de-Caralp,366,366,3
Saint-Michel,76,76,7
Saint-Paul-de-Jarrat,1340,1340,1
Saint-Pierre-de-Rivière,666,666,6
Saint-Quentin-la-Tour,343,343,3
Saint-Quirc,375,375,3
Saint-Victor-Rouzaud,240,240,2
Saint-Ybars,679,679,6
Sainte-Croix-Volvestre,642,642,6
Sainte-Foi,26,26,2
Sainte-Suzanne,241,241,2
Salsein,44,44,4
Saurat,646,646,6
Sautel,111,111,1
Saverdun,5015,5015,5
Savignac-les-Ormeaux,385,385,3
Ségura,186,186,1
Seix,716,716,7
Senconac,12,12,1
Sentein,153,153,1
Sentenac-d'Oust,111,111,1
Sentenac-de-Sérou,52,52,5
Serres-sur-Arget,698,698,6
Sieuras,97,97,9
Siguer,98,98,9
Sor,29,29,2
Sorgeat,84,84,8
Soueix-Rogalle,427,427,4
Soula,184,184,1
Soulan,376,376,3
Surba,333,333,3
Suzan,17,17,1
Tabre,376,376,3
Tarascon-sur-Ariège,3076,3076,3
Taurignan-Castet,167,167,1
Taurignan-Vieux,214,214,2
Teilhet,156,156,1
Thouars-sur-Arize,55,55,5
Tignac,27,27,2
La Tour-du-Crieu,3241,3241,3
Tourtouse,153,153,1
Tourtrol,306,306,3
Trémoulet,125,125,1
Troye-d'Ariège,88,88,8
Unac,122,122,1
Unzent,121,121,1
Urs,34,34,3
Ussat,326,326,3
Ustou,312,312,3
Val-de-Sos,691,691,6
Vals,99,99,9
Varilhes,3479,3479,3
Vaychis,23,23,2
Vèbre,127,127,1
Ventenac,237,237,2
Verdun,230,230,2
Vernajoul,675,675,6
Vernaux,29,29,2
Le Vernet,711,711,7
Verniolle,2353,2353,2
Villeneuve,36,36,3
Villeneuve-d'Olmes,1007,1007,1
Villeneuve-du-Latou,162,162,1
Villeneuve-du-Paréage,779,779,7
Vira,165,165,1
Viviès,124,124,1
Ailleville,257,257,2
Aix-Villemaur-Pâlis,3592,3592,3
Allibaudières,211,211,2
Amance,287,287,2
Arcis-sur-Aube,2950,2950,2
Arconville,107,107,1
Argançon,109,109,1
Arrelles,88,88,8
Arrembécourt,52,52,5
Arrentières,215,215,2
Arsonval,327,327,3
Assenay,148,148,1
Assencières,174,174,1
Aubeterre,364,364,3
Aulnay,132,132,1
Auxon,1015,1015,1
Avant-lès-Marcilly,519,519,5
Avant-lès-Ramerupt,161,161,1
Avirey-Lingey,215,215,2
Avon-la-Pèze,200,200,2
Avreuil,168,168,1
Bagneux-la-Fosse,176,176,1
Bailly-le-Franc,37,37,3
Balignicourt,66,66,6
Balnot-la-Grange,120,120,1
Balnot-sur-Laignes,156,156,1
Bar-sur-Aube,5075,5075,5
Bar-sur-Seine,3202,3202,3
Barberey-Saint-Sulpice,1469,1469,1
Barbuise,473,473,4
Baroville,315,315,3
Bayel,768,768,7
Bercenay-en-Othe,489,489,4
Bercenay-le-Hayer,193,193,1
Bergères,124,124,1
Bernon,171,171,1
Bertignolles,53,53,5
Bérulle,239,239,2
Bessy,142,142,1
Bétignicourt,33,33,3
Beurey,204,204,2
Blaincourt-sur-Aube,110,110,1
Blignicourt,41,41,4
Bligny,167,167,1
Les Bordes-Aumont,551,551,5
Bossancourt,209,209,2
Bouilly,1122,1122,1
Boulages,225,225,2
Bouranton,582,582,5
Bourdenay,118,118,1
Bourguignons,295,295,2
Bouy-Luxembourg,229,229,2
Bouy-sur-Orvin,57,57,5
Bragelogne-Beauvoir,252,252,2
Braux,112,112,1
Bréviandes,2880,2880,2
Brévonnes,697,697,6
Briel-sur-Barse,208,208,2
Brienne-la-Vieille,436,436,4
Brienne-le-Château,2852,2852,2
Brillecourt,90,90,9
Bucey-en-Othe,440,440,4
Buchères,1721,1721,1
Buxeuil,136,136,1
Buxières-sur-Arce,121,121,1
Celles-sur-Ource,520,520,5
Chacenay,51,51,5
La Chaise,37,37,3
Chalette-sur-Voire,135,135,1
Chamoy,515,515,5
Champ-sur-Barse,27,27,2
Champfleury,107,107,1
Champignol-lez-Mondeville,283,283,2
Champigny-sur-Aube,108,108,1
Channes,124,124,1
Chaource,1095,1095,1
La Chapelle-Saint-Luc,12396,12396,1
Chapelle-Vallon,247,247,2
Chappes,326,326,3
Charmont-sous-Barbuise,1043,1043,1
Charmoy,70,70,7
Charny-le-Bachot,266,266,2
Chaserey,55,55,5
Châtres,712,712,7
Chauchigny,248,248,2
Chaudrey,147,147,1
Chauffour-lès-Bailly,122,122,1
Chaumesnil,105,105,1
Chavanges,603,603,6
Le Chêne,298,298,2
Chennegy,446,446,4
Chervey,168,168,1
Chesley,334,334,3
Chessy-les-Prés,509,509,5
Clérey,1121,1121,1
Coclois,181,181,1
Colombé-la-Fosse,196,196,1
Colombé-le-Sec,150,150,1
Cormost,309,309,3
Courcelles-sur-Voire,28,28,2
Courceroy,128,128,1
Coursan-en-Othe,105,105,1
Courtaoult,83,83,8
Courtenot,239,239,2
Courteranges,579,579,5
Courteron,110,110,1
Coussegrey,192,192,1
Couvignon,208,208,2
Crancey,733,733,7
Creney-près-Troyes,1876,1876,1
Crésantignes,317,317,3
Crespy-le-Neuf,160,160,1
Les Croûtes,101,101,1
